Time,Source,Destination,Protocol,Length,portnumber,Info
2015-10-2409:46:59,192.168.0.105,192.168.0.1,DNS,75,53,csi.gstatic.com
2015-10-2409:47:01,192.168.0.105,192.168.0.1,DNS,73,53,www.gmail.com
2015-10-2409:47:01,192.168.0.105,192.168.0.1,DNS,84,53,ssl.google-analytics.com
2015-10-2409:47:04,192.168.0.105,192.168.0.1,DNS,77,53,fonts.gstatic.com
2015-10-2409:47:07,192.168.0.105,192.168.0.1,DNS,87,53,2542116.fls.doubleclick.net
2015-10-2409:47:08,192.168.0.105,192.168.0.1,DNS,87,53,oauth.googleusercontent.com
2015-10-2409:47:09,192.168.0.105,192.168.0.1,DNS,79,53,accounts.google.com
2015-10-2409:47:10,192.168.0.105,192.168.0.1,DNS,79,53,accounts.google.com
2015-10-2409:47:30,192.168.0.105,192.168.0.1,DNS,74,53,pki.google.com
2015-10-2409:47:38,192.168.0.105,192.168.0.1,DNS,76,53,go.microsoft.com
2015-10-2409:47:39,192.168.0.105,192.168.0.1,DNS,99,53,wscont.apps.microsoft.com.edgesuite.net
2015-10-2409:47:41,192.168.0.105,192.168.0.1,DNS,75,53,crl.godaddy.com
2015-10-2409:47:54,192.168.0.105,192.168.0.1,DNS,86,53,download.windowsupdate.com
2015-10-2409:47:55,192.168.0.105,192.168.0.1,DNS,78,53,sg.update.real.com
2015-10-2409:47:58,192.168.0.105,192.168.0.1,DNS,79,53,mscrl.microsoft.com
2015-10-2409:48:10,192.168.0.105,192.168.0.1,DNS,78,53,crl.globalsign.net
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,75,53,csi.gstatic.com
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,75,53,apis.google.com
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,75,53,id.google.co.in
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,85,53,lh4.googleusercontent.com
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,75,53,ssl.gstatic.com
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,74,53,www.google.com
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,75,53,www.gstatic.com
2015-10-2409:49:41,192.168.0.105,192.168.0.1,DNS,79,53,clients2.google.com
2015-10-2409:49:48,192.168.0.105,192.168.0.1,DNS,76,53,www.facebook.com
2015-10-2409:49:49,192.168.0.105,192.168.0.1,DNS,83,53,fbstatic-a.akamaihd.net
2015-10-2409:49:52,192.168.0.105,192.168.0.1,DNS,79,53,clients1.google.com
2015-10-2409:50:10,192.168.0.105,192.168.0.1,DNS,79,53,clients4.google.com
2015-10-2409:50:50,192.168.0.105,192.168.0.1,DNS,89,53,ds.download.windowsupdate.com
2015-10-2409:50:50,192.168.0.105,192.168.0.1,DNS,84,53,fe2.update.microsoft.com
2015-10-2409:51:24,192.168.0.105,192.168.0.1,DNS,89,53,update-india.huaweidevice.com
2015-10-2409:51:30,192.168.0.105,192.168.0.1,DNS,76,53,message.real.com
2015-10-2409:52:19,192.168.0.105,192.168.0.1,DNS,89,53,au.download.windowsupdate.com
2015-10-2409:52:19,192.168.0.105,192.168.0.1,DNS,89,53,au.download.windowsupdate.com
